customer_id,company_name,plan_tier,segment,r_score,f_score,m_score,rfm_total,recency_days,frequency,monetary,engagement_score,is_churned
53,MistPro,free,At Risk,1,3,4,8,238,27,3871.9599999999996,23.06,0
54,Orbit Ops,free,Loyal Customers,3,3,3,9,160,26,2201.7599999999998,23.38,0
55,LunaVentures,professional,Potential Loyalists,4,1,3,8,157,19,1404.44,19.81,0
56,Flow Works,professional,Potential Loyalists,3,1,3,7,168,21,1874.23,19.9,0
57,OnyxHQ,professional,Potential Loyalists,4,2,1,7,141,22,375.15,21.64,0
58,Hub HQ,starter,Lost,1,2,2,5,218,23,913.9300000000001,20.67,0
59,MistDev,starter,Loyal Customers,4,4,3,11,149,29,1749.84,26.21,0
60,JetHQ,professional,Promising,3,3,2,8,166,26,990.97,25.13,0
61,UltraPro,free,Needs Attention,2,4,2,8,188,35,732.86,28.72,1
62,GridDev,starter,Potential Loyalists,4,2,1,7,154,24,33.96,22.82,0
63,UltraStack,professional,Loyal Customers,4,4,3,11,143,34,1762.92,29.15,1
64,CoreSolutions,starter,Promising,4,4,1,9,151,31,427.07,27.92,0
65,Yield Group,free,Lost,1,2,2,5,224,24,985.3199999999999,23.84,0
66,EdgeHQ,free,At Risk,2,3,3,8,207,27,2189.2,24.82,0
67,Quest Logic,free,Loyal Customers,3,3,4,10,165,26,6615.02,24.07,0
68,Quark Ops,enterprise,At Risk,1,4,3,8,300,29,1611.27,25.69,1
69,Ion Dynamics,free,Loyal Customers,4,3,3,10,144,27,1977.18,25.75,0
70,JetHub,professional,Lost,2,2,1,5,198,23,362.8,21.35,1
71,LinkLogic,enterprise,Needs Attention,1,1,4,6,284,20,2521.9,20.79,0
72,Cloud AI,starter,Loyal Customers,3,3,3,9,163,27,1692.21,25.11,0
73,LinkPro,starter,Potential Loyalists,4,2,3,9,151,24,1877.34,21.91,0
74,GridOps,starter,Cannot Lose Them,1,3,2,6,287,28,983.71,25.01,0
75,NovaTech,free,Potential Loyalists,3,1,1,5,176,18,286.04,18.07,1
76,Wave Platform,starter,Needs Attention,2,1,4,7,199,18,3373.81,19.9,0
77,Nexus AI,professional,Promising,4,3,1,8,142,27,458.78999999999996,24.7,0
78,Rush Group,professional,Lost,2,1,1,4,202,20,462.87,20.65,0
79,PeakStack,professional,Needs Attention,2,3,2,7,206,27,730.76,25.3,1
80,JetOps,professional,Cannot Lose Them,1,4,1,6,238,40,321.99,33.38,0
81,WaveOps,professional,At Risk,2,4,3,9,203,31,1866.8000000000002,27.07,0
82,Orbit Corp,professional,Loyal Customers,4,4,3,11,156,30,1213.56,26.21,0
83,LunaDigital,free,At Risk,2,4,3,9,198,35,1193.01,28.91,0
84,ZealVentures,free,Lost,1,1,2,4,308,21,1034.5,21.33,0
85,Rift Ops,free,Lost,1,2,1,4,263,24,191.11,21.86,0
86,Flux Pro,professional,At Risk,1,3,3,7,223,27,1691.8100000000002,24.81,0
87,UltraVentures,starter,Potential Loyalists,4,2,3,9,156,24,1211.07,21.92,0
88,FlowCorp,free,Needs Attention,1,1,4,6,255,17,3969.4300000000003,18.38,1
89,WavePro,enterprise,Needs Attention,2,3,2,7,196,27,813.46,25.26,0
90,DriftHub,starter,Champions,4,4,4,12,152,30,2763.81,28.2,0
91,LinkAI,starter,Lost,2,2,1,5,197,23,312.09,22.07,0
92,DriftVentures,free,Lost,2,2,2,6,190,22,730.1800000000001,21.51,0
93,TrekTech,professional,Promising,3,3,2,8,179,27,1074.21,26.91,0
94,OnyxStack,free,Needs Attention,2,3,1,6,212,25,530.44,22.68,1
95,PeakNet,professional,Lost,1,2,1,4,218,24,505.67,22.68,0
96,PeakOps,enterprise,Loyal Customers,4,3,3,10,147,26,1153.98,25.34,1
97,QuestWorks,starter,Potential Loyalists,3,1,4,8,175,17,3073.3599999999997,18.65,0
98,Vine HQ,starter,Potential Loyalists,3,1,1,5,171,20,651.1,19.53,0
99,GlowDev,free,Potential Loyalists,3,2,2,7,158,23,856.75,21.18,0
100,SyncTech,starter,Cannot Lose Them,1,3,2,6,295,25,809.1,23.76,0
101,PulseLogic,free,Champions,4,4,4,12,149,29,2737.24,23.75,0
102,Flow Labs,starter,Promising,3,3,2,8,167,26,1027.95,24.59,1
103,EdgeSystems,starter,Loyal Customers,4,3,3,10,149,28,1781.71,23.04,0
104,Hive Dynamics,professional,Lost,2,1,1,4,197,21,563.0799999999999,21.32,0
105,UnitOps,starter,Loyal Customers,3,3,4,10,161,28,2544.74,26.19,0
106,OnyxSolutions,free,Potential Loyalists,4,2,1,7,148,23,153.94,21.72,0
107,QuarkAI,free,Promising,3,4,2,9,178,33,746.13,27.99,0
108,VertexSolutions,starter,Lost,2,1,2,5,194,20,825.41,19.55,1
109,TidalHQ,starter,Potential Loyalists,3,1,4,8,163,18,2405.2,18.51,0
110,EdgeOps,starter,At Risk,2,4,3,9,194,31,1892.08,27.89,1
111,XenonLogic,professional,Loyal Customers,3,3,3,9,175,26,1668.84,23.29,0
112,Hive Logic,enterprise,Loyal Customers,4,4,3,11,152,35,1887.68,31.22,0
113,CoreTech,professional,Needs Attention,2,3,1,6,185,26,601.9000000000001,24.56,0
114,Meta Digital,enterprise,Needs Attention,2,4,2,8,208,31,854.74,27.85,1
115,HiveCorp,starter,Loyal Customers,4,3,4,11,146,25,2852.1099999999997,22.14,0
116,BeamDev,starter,Promising,3,4,2,9,173,32,1037.27,25.48,0
117,Onyx Cloud,free,Promising,4,3,1,8,152,26,468.21000000000004,23.81,0
118,Peak Hub,starter,Needs Attention,2,3,1,6,191,28,356.66,24.27,0
119,EchoPlatform,professional,Needs Attention,1,2,3,6,275,24,1780.1299999999999,22.95,0
120,UnitStudio,free,Needs Attention,2,1,3,6,185,18,1161.17,17.98,1
121,KeenPro,professional,Needs Attention,2,3,2,7,184,25,1019.22,24.1,0
122,Sync IO,starter,Needs Attention,2,2,3,7,191,22,1161.88,20.16,0
123,Jade Software,starter,Needs Attention,2,2,4,8,196,23,2444.94,21.12,0
124,XenonWorks,professional,Lost,1,1,2,4,219,19,713.88,18.1,0
125,UltraGroup,professional,Promising,4,4,1,9,145,31,172.93,26.91,0
126,RiftSystems,enterprise,Needs Attention,1,2,3,6,225,23,1444.9099999999999,22.24,0
127,Onyx Pro,professional,Needs Attention,2,3,2,7,211,25,1047.81,24.61,0
128,GlowHub,starter,Loyal Customers,3,4,3,10,168,29,1521.07,26.56,0
129,IrisWorks,professional,Potential Loyalists,4,2,2,8,142,24,1093.79,21.93,0
130,ZealCloud,starter,Promising,4,3,1,8,144,27,612.7,24.26,0
131,Sync Net,enterprise,Lost,2,2,2,6,179,22,900.99,20.59,0
132,PulseAI,starter,Loyal Customers,4,3,4,11,156,25,3110.42,24.2,1
133,Sync Works,starter,Promising,4,4,1,9,146,31,536.9200000000001,28.44,0
134,Vine Cloud,professional,Cannot Lose Them,1,4,1,6,255,29,581.2,26.99,0
135,RushSoftware,free,Potential Loyalists,3,2,2,7,172,23,975.71,23.68,0
136,Ion IO,starter,Promising,3,3,1,7,173,28,470.28,26.29,0
137,Tidal Solutions,professional,Needs Attention,2,1,4,7,184,21,3808.9,18.81,0
138,ArcNet,starter,Potential Loyalists,4,2,4,10,148,24,2967.2299999999996,21.78,0
139,DataDynamics,professional,Loyal Customers,4,4,3,11,153,29,1738.33,25.26,0
140,DriftDigital,professional,Cannot Lose Them,1,4,2,7,378,29,825.08,25.12,1
141,IrisAI,professional,Promising,3,4,2,9,161,32,1025.58,27.02,0
142,YieldTech,professional,Needs Attention,2,3,2,7,193,26,894.89,23.26,0
143,IrisCorp,starter,At Risk,1,3,4,8,232,25,3058.8300000000004,23.93,0
144,Mist AI,enterprise,Loyal Customers,4,4,3,11,145,30,1807.0200000000002,28.54,0
145,Unit Ventures,professional,Potential Loyalists,4,2,3,9,149,24,1912.48,22.33,0
146,OnyxOps,professional,Potential Loyalists,4,2,3,9,148,23,1145.66,22.57,0
147,PulsePlatform,starter,Cannot Lose Them,1,4,2,7,214,34,953.15,29.08,0
148,XenonTech,professional,Potential Loyalists,4,2,1,7,145,24,333.90999999999997,23.27,0
149,EchoSoftware,free,Potential Loyalists,3,2,1,6,173,24,389.78,21.8,0
150,IrisStack,starter,Loyal Customers,3,3,4,10,175,28,5187.15,24.7,0
151,Jade Ventures,starter,At Risk,1,3,3,7,220,25,1219.13,21.6,0
152,QuarkHub,starter,Potential Loyalists,3,2,4,9,170,24,3219.08,22.36,0
153,HiveAI,starter,Loyal Customers,3,4,3,10,174,30,1147.74,25.89,1
154,Iris Dynamics,starter,Promising,4,4,2,10,142,33,817.23,28.61,0
155,GridSystems,free,Lost,1,2,2,5,244,22,806.99,20.57,0
156,TidalOps,free,Potential Loyalists,4,2,1,7,145,24,570.6,21.13,1
157,KeenSystems,free,Promising,4,4,1,9,147,30,560.75,25.47,0
158,Nova Ventures,starter,Lost,1,1,1,3,217,20,479.66999999999996,20.02,0
159,Vine Studio,enterprise,Promising,3,4,2,9,167,37,1030.24,31.45,0
160,FluxPlatform,free,Loyal Customers,4,4,3,11,142,38,1253.2199999999998,30.75,0
161,VineLogic,starter,Needs Attention,2,1,4,7,207,19,4151.9400000000005,16.93,0
162,FlowStudio,starter,Promising,3,3,2,8,164,26,852.53,23.25,0
163,Rush Cloud,free,Needs Attention,2,4,2,8,197,34,934.07,29.95,0
164,Acme Logic,professional,Promising,3,3,2,8,178,25,868.33,24.36,0
165,Zen Works,free,Needs Attention,1,1,3,5,287,21,1769.83,21.48,0
166,Zeal Dynamics,free,Lost,2,2,1,5,190,23,622.9,21.65,0
167,Quest Digital,free,Potential Loyalists,3,1,4,8,178,13,2984.6299999999997,15.69,0
168,XenonNet,professional,Loyal Customers,3,3,4,10,158,25,2592.2599999999998,22.28,1
169,Quark Platform,free,At Risk,2,3,3,8,181,27,2102.38,25.37,0
170,WaveLabs,free,Lost,2,2,2,6,182,22,835.6800000000001,21.39,0
171,UnitNet,starter,Potential Loyalists,3,2,1,6,158,24,383.13,22.26,0
172,JadeSolutions,free,Loyal Customers,3,3,3,9,166,26,1845.11,25.72,0
173,Rush Hub,free,Promising,4,4,2,10,151,31,992.58,28.11,1
174,NexusLogic,professional,Potential Loyalists,3,2,2,7,168,23,1008.8100000000001,22.72,1
175,Yield Corp,free,Cannot Lose Them,1,3,2,6,215,25,764.8,23.41,0
176,MetaLogic,enterprise,Potential Loyalists,4,1,4,9,147,21,4544.09,20.74,0
177,Iris Cloud,starter,Potential Loyalists,4,2,1,7,151,22,259.45,19.05,0
178,WarpPro,free,At Risk,2,4,3,9,209,29,1500.9,24.95,0
179,Vine Ventures,professional,Loyal Customers,3,4,4,11,177,31,7021.540000000001,24.98,1
180,Rush Dev,professional,Promising,3,3,2,8,176,25,976.39,25.28,0
181,PulseHub,professional,Promising,4,4,1,9,145,37,257.67,31.17,0
182,SageStudio,starter,Lost,1,1,1,3,280,20,558.83,18.79,0
183,BeamSoftware,starter,Needs Attention,2,4,1,7,201,33,522.57,28.88,0
184,BoltSystems,professional,Lost,2,1,1,4,196,21,259.95,20.35,1
185,XenonOps,free,Needs Attention,2,2,4,8,191,24,2902.54,22.48,1
186,AcmeLabs,starter,Potential Loyalists,4,2,3,9,155,24,2339.35,19.59,1
187,Hive Ventures,starter,Needs Attention,1,1,4,6,259,20,2875.55,19.5,0
188,GridDigital,starter,Potential Loyalists,3,2,2,7,175,22,933.35,21.4,0
189,Quest Cloud,starter,Promising,4,3,1,8,151,25,539.0600000000001,23.6,0
190,Acme Studio,starter,At Risk,2,4,3,9,187,31,1255.4599999999998,27.28,0
191,Data Logic,starter,Promising,3,3,1,7,176,25,575.5899999999999,23.35,0
192,GlowSoftware,starter,Potential Loyalists,4,2,3,9,150,22,2011.71,21.18,0
193,PulseTech,free,Potential Loyalists,3,2,1,6,175,24,537.34,23.59,1
194,Zeal Analytics,starter,Needs Attention,2,2,3,7,199,23,1221.76,22.25,0
195,Kite Analytics,enterprise,At Risk,2,3,4,9,183,27,4825.58,25.59,1
196,CloudDynamics,professional,Potential Loyalists,3,1,3,7,158,18,1636.01,15.03,0
197,LunaPlatform,professional,Potential Loyalists,3,1,2,6,169,21,1001.57,20.36,0
198,DriftStudio,starter,Needs Attention,2,2,3,7,203,22,1801.83,20.88,0
199,VertexLabs,free,Potential Loyalists,3,1,4,8,165,17,4128.18,18.66,1
200,XenonHQ,professional,Promising,4,4,1,9,156,32,599.51,27.89,0
201,ZenNet,professional,At Risk,2,3,4,9,209,25,3275.77,22.83,1
202,CoreCloud,enterprise,At Risk,2,4,4,10,180,29,3569.45,25.44,0
203,Tidal Analytics,starter,Loyal Customers,3,3,4,10,158,28,3590.8500000000004,25.67,0
204,IonSoftware,free,Lost,2,1,2,5,197,20,867.9399999999999,19.98,1
205,HubAI,professional,Needs Attention,2,4,2,8,205,30,1021.91,26.62,0
206,RushHQ,enterprise,Promising,3,4,1,8,171,42,356.16999999999996,33.3,0
207,OnyxDynamics,free,Potential Loyalists,4,1,3,8,148,19,1510.58,18.46,0
208,Echo Dev,starter,Needs Attention,2,2,4,8,195,22,2394.6,21.04,0
209,KeenLogic,enterprise,At Risk,1,3,3,7,291,26,2249.0,23.7,0
210,FluxDynamics,professional,Lost,1,1,2,4,250,16,849.7,18.29,0
211,Trek Digital,starter,Loyal Customers,3,3,4,10,170,25,4475.89,24.45,0
212,OnyxIO,free,At Risk,1,4,4,9,240,34,2430.3900000000003,30.27,0
213,Sage Ventures,starter,At Risk,2,4,4,10,180,35,3885.03,29.04,1
214,UltraSolutions,enterprise,Potential Loyalists,3,1,4,8,160,17,4151.679999999999,16.75,0
215,ArcSolutions,starter,Needs Attention,2,1,4,7,212,21,3542.6299999999997,20.64,0
216,SyncLabs,professional,Needs Attention,2,3,2,7,183,26,869.16,23.42,0
217,PeakSolutions,free,Lost,1,1,1,3,223,20,352.85,19.93,0
218,Keen Dynamics,starter,Needs Attention,1,1,3,5,260,16,1916.15,17.1,1
219,TidalLogic,professional,At Risk,1,3,3,7,252,28,1325.69,25.55,1
220,GridTech,enterprise,Potential Loyalists,4,1,1,6,149,20,582.99,20.57,0
221,KeenPlatform,professional,Potential Loyalists,4,2,1,7,155,23,481.68,23.08,1
222,Beam Tech,enterprise,Cannot Lose Them,1,3,1,5,332,26,457.90999999999997,21.22,0
223,RushDev,starter,At Risk,2,3,4,9,206,26,2587.4599999999996,23.69,0
224,GridVentures,free,Loyal Customers,4,3,3,10,145,25,1201.44,22.05,1
225,CloudLogic,starter,Potential Loyalists,3,1,4,8,163,21,2641.0099999999998,20.63,0
226,OrbitDigital,free,Champions,4,4,4,12,149,31,3795.88,27.62,0
227,DataDev,starter,Potential Loyalists,3,1,2,6,165,15,1075.68,17.18,0
228,DriftAI,professional,Loyal Customers,3,4,3,10,159,29,2028.4,24.4,0
229,LinkDynamics,professional,Needs Attention,1,1,3,5,323,16,2338.6800000000003,17.93,0
230,PeakPlatform,starter,Needs Attention,2,4,2,8,207,30,969.42,27.12,0
231,OrbitAnalytics,starter,Potential Loyalists,4,1,3,8,141,19,1785.1299999999999,19.23,0
232,Quest Studio,professional,Potential Loyalists,3,1,1,5,163,21,626.8,20.42,0
233,Hive Hub,starter,Needs Attention,1,1,3,5,250,21,1929.74,20.28,0
234,LinkNet,professional,Loyal Customers,4,3,3,10,148,27,1318.08,25.28,0
235,SyncSystems,free,Needs Attention,1,1,4,6,221,21,3212.7,19.51,0
236,ArcWorks,starter,Lost,1,1,2,4,242,16,681.01,14.82,1
237,HiveCloud,free,Needs Attention,1,2,3,6,234,23,1476.26,21.1,0
238,VertexStack,professional,Promising,4,3,2,9,151,25,664.9300000000001,23.23,0
239,IonGroup,professional,Lost,1,1,1,3,247,21,395.21000000000004,20.14,0
240,Unit Platform,professional,Loyal Customers,3,4,3,10,166,33,1871.38,26.73,1
241,BeamOps,starter,Potential Loyalists,3,1,1,5,168,21,323.42,20.85,0
242,HubStudio,professional,Cannot Lose Them,1,4,2,7,244,35,829.5,28.03,1
243,YieldSystems,free,Needs Attention,2,1,4,7,182,15,6003.4,17.18,0
244,Grid IO,starter,Lost,1,2,2,5,277,22,820.08,22.07,1
245,Quest Tech,starter,Champions,4,4,4,12,143,31,2793.5499999999997,25.78,1
246,Luna AI,starter,At Risk,2,3,3,8,201,25,1462.08,22.76,1
247,VertexStudio,starter,Champions,4,4,4,12,153,33,2370.7799999999997,29.04,0
248,Sage Pro,professional,Potential Loyalists,3,2,3,8,159,22,1975.73,22.15,0
249,RiftPro,professional,Potential Loyalists,4,1,4,9,154,20,2911.35,20.29,0
250,SageNet,professional,Potential Loyalists,3,1,3,7,168,17,1481.06,18.16,0
251,AcmeStack,free,Needs Attention,1,1,4,6,214,18,2730.42,18.53,0
252,Core Ventures,free,Needs Attention,2,1,4,7,206,20,2546.0299999999997,18.7,1
253,Quest HQ,enterprise,Lost,1,1,2,4,291,19,1047.28,19.16,0
254,GridHub,starter,At Risk,1,4,4,9,426,30,2540.07,25.85,1
255,GridAnalytics,starter,Lost,1,1,2,4,250,21,927.8000000000001,20.75,1
256,DriftOps,professional,Potential Loyalists,4,2,4,10,149,22,2617.51,19.6,0
257,Ion Systems,starter,Promising,4,4,1,9,147,30,638.26,27.38,0
258,Mist Net,professional,Potential Loyalists,3,2,2,7,170,24,1065.94,22.07,0
259,RiftDigital,professional,Loyal Customers,3,3,4,10,175,27,2581.45,23.47,0
260,IrisCloud,free,Promising,3,4,2,9,161,33,700.56,28.75,0
261,JetAI,free,Potential Loyalists,4,1,3,8,150,20,1858.6,19.55,0
262,Yield Logic,professional,Lost,1,1,2,4,237,21,681.1,18.28,0
263,WarpVentures,professional,Loyal Customers,3,3,4,10,167,25,4377.6900000000005,22.94,0
264,Link Analytics,free,Needs Attention,1,1,3,5,229,17,1269.09,18.05,0
265,FluxVentures,professional,Potential Loyalists,3,2,3,8,168,23,1133.1799999999998,20.93,0
266,NovaOps,free,Needs Attention,1,2,4,7,291,23,2519.4,22.71,0
267,CloudOps,starter,Potential Loyalists,3,1,1,5,169,16,539.52,16.3,0
268,PeakSoftware,free,Lost,1,1,1,3,242,19,343.84,18.38,0
269,NovaDynamics,free,Potential Loyalists,4,2,4,10,144,23,2415.33,22.05,0
270,JadeTech,professional,Needs Attention,2,1,4,7,205,20,3027.08,20.47,0
271,SageTech,free,Promising,4,3,1,8,146,25,95.05,22.14,0
272,JetCloud,free,Cannot Lose Them,1,3,1,5,217,28,522.25,24.76,0
273,TidalSoftware,starter,Lost,2,1,2,5,185,15,971.0400000000001,17.1,0
274,WarpDynamics,professional,At Risk,2,3,3,8,198,26,1270.01,24.49,0
275,GridCloud,enterprise,Potential Loyalists,3,2,4,9,173,24,5033.56,24.68,0
276,UltraPlatform,professional,At Risk,1,4,4,9,226,29,4517.389999999999,26.85,0
277,Mist Tech,free,At Risk,2,4,3,9,210,29,1799.94,26.23,1
278,Cloud Dynamics,enterprise,Potential Loyalists,3,2,2,7,167,22,1068.93,20.07,0
279,ZenStudio,professional,Promising,4,3,2,9,147,28,702.27,26.84,0
280,VinePro,starter,Promising,3,3,1,7,167,28,637.27,27.01,0
281,EchoHQ,free,Promising,4,4,1,9,156,34,462.54999999999995,28.7,0
282,XenonVentures,free,Needs Attention,2,1,4,7,212,20,2409.55,19.78,0
283,GlowDigital,professional,Lost,2,2,2,6,197,22,1058.51,20.93,1
284,EchoOps,free,Promising,4,3,2,9,148,27,735.35,24.89,1
285,Luna Dev,enterprise,Needs Attention,1,2,3,6,246,22,1922.4099999999999,22.67,0
286,KitePlatform,professional,At Risk,2,3,3,8,179,28,1295.47,25.69,0
287,Bolt Software,starter,Potential Loyalists,3,1,1,5,168,20,458.08000000000004,18.42,0
288,FlowIO,free,Promising,3,4,2,9,175,34,922.65,29.25,0
289,OrbitIO,starter,Promising,4,3,2,9,146,27,746.12,23.72,0
290,SyncGroup,starter,Needs Attention,2,1,3,6,179,21,1769.42,20.51,0
291,Beam Stack,professional,Promising,4,4,1,9,142,30,280.51,27.09,0
292,LunaStudio,free,At Risk,2,4,3,9,187,38,1737.39,31.08,1
293,GridSoftware,professional,At Risk,2,4,3,9,213,33,1276.34,28.78,0
294,UnitLogic,professional,Needs Attention,1,2,4,7,225,22,4580.97,20.35,1
295,NexusSolutions,professional,Needs Attention,2,2,3,7,179,23,1409.62,21.02,0
296,WaveStudio,starter,Potential Loyalists,4,2,2,8,142,24,688.86,22.24,1
297,Core Logic,enterprise,Promising,4,3,2,9,146,25,974.62,22.59,1
298,Ultra Corp,starter,Promising,4,3,1,8,147,27,390.77,24.56,0
299,Keen Analytics,professional,Lost,1,1,2,4,233,18,853.47,16.19,0
300,Flow Ops,professional,Promising,3,4,2,9,174,29,1127.87,25.01,0
301,FluxSolutions,professional,Potential Loyalists,4,1,3,8,155,19,1147.1200000000001,18.12,0
302,DriftSystems,starter,Needs Attention,2,4,1,7,184,29,511.74,26.96,0
303,EchoGroup,starter,Champions,4,4,4,12,151,29,2981.49,25.91,0
304,Pulse Dynamics,starter,Promising,3,4,1,8,161,30,235.66000000000003,24.86,0
305,Keen AI,enterprise,Promising,4,3,2,9,145,26,755.71,24.73,0
306,MetaVentures,starter,Loyal Customers,4,3,4,11,142,25,4251.09,24.07,0
307,KiteStack,starter,Needs Attention,2,1,3,6,182,20,1734.31,20.44,0
308,MistStack,free,Potential Loyalists,4,1,4,9,152,17,3023.18,19.43,1
309,NovaSolutions,professional,Loyal Customers,4,4,3,11,155,32,1209.78,27.43,1
310,Hive Solutions,starter,Potential Loyalists,3,2,2,7,169,24,970.8199999999999,20.47,0
311,LinkGroup,enterprise,Lost,2,2,1,5,198,24,565.76,23.68,0
312,SageIO,enterprise,Potential Loyalists,3,2,4,9,164,23,3067.0800000000004,20.52,0
313,TrekPro,free,Lost,1,1,1,3,224,19,206.15,18.54,0
314,ArcSoftware,professional,Potential Loyalists,3,1,2,6,167,21,1073.0,20.21,1
315,RushDigital,free,Needs Attention,2,1,4,7,187,20,2774.32,17.57,0
316,VertexTech,starter,Champions,4,4,4,12,144,34,2953.58,30.42,0
317,Zeal HQ,starter,Promising,4,3,2,9,154,25,798.69,23.42,0
318,Jade Dev,enterprise,Loyal Customers,4,3,3,10,157,27,1134.81,24.86,0
319,LinkSystems,starter,Loyal Customers,4,4,3,11,143,37,1664.5500000000002,29.49,0
320,Wave Stack,free,At Risk,2,3,3,8,207,25,1633.88,22.52,0
321,BoltNet,free,Needs Attention,2,1,4,7,182,16,3372.73,17.22,0
322,RushGroup,professional,Promising,3,3,2,8,173,25,1122.0900000000001,23.89,0
323,NexusStudio,starter,Potential Loyalists,4,1,2,7,151,19,1005.21,19.07,0
324,Hive Ops,enterprise,Lost,1,1,1,3,239,10,513.72,13.42,0
325,Trek Tech,professional,Loyal Customers,4,4,3,11,155,33,1153.1100000000001,28.06,0
326,NexusAnalytics,professional,Needs Attention,1,2,4,7,246,23,2680.24,21.53,1
327,JadePro,starter,Promising,4,3,1,8,154,25,484.8,22.95,0
328,IrisGroup,starter,Potential Loyalists,4,2,2,8,151,24,924.89,22.98,0
329,ZenLabs,free,Lost,2,2,1,5,204,24,394.76,22.07,0
330,JadeDev,free,Lost,1,1,2,4,334,18,787.06,16.97,0
331,UnitWorks,professional,Loyal Customers,3,3,4,10,165,28,4197.34,26.15,0
